FECHAS,EQUIPOS,GF,GE,RESULTADOS,ASISTENCIA,GOLES
4/03/2015,La Nueva Guardia,1,2,P,X,
11/03/2015,Villa Alcira,3,6,P,X,
18/03/2015,Manchester,13,7,G,X,1
25/03/2015,Toco y me voy,5,4,G,X,
1/04/2015,Los Pibes de Wilde,6,1,G,X,2
16/04/2015,Mandalga,2,10,P,,
22/04/2015,Ferrocarril Bumby,1,3,P,,
29/04/2015,Centensiados,3,7,P,,
6/05/2015,Jamaica,3,4,P,X,
13/05/2015,Wilson,3,0,G,,
25/05/2015,FC,3,1,G,X,
31/05/2015,Villa Domínico,5,2,G,X,
2/06/2015,Koriotto FC,2,0,G,X,2
4/06/2015,Checa,4,3,G,X,
18/06/2015,Jamaica,4,2,G,X,
28/06/2015,Villa Alcira,3,3,E,X,
1/07/2015,Chevette,3,3,E,X,2
15/07/2015,Mandalga,4,2,G,X,
21/07/2015,El Pozo,3,8,P,X,
2/08/2015,Los Pibes de Wilde,2,5,P,X,
6/08/2015,Los Ligres,5,6,P,X,1
12/08/2015,La Nueva Guardia,1,6,P,X,
19/08/2015,Mucho Color,5,8,P,X,
26/08/2015,Moreno,1,8,P,X,
3/09/2015,Los Vagos,5,11,P,X,
24/09/2015,Timao,1,2,P,X,
4/10/2015,Los Pibes de Wilde,2,3,P,X,1
7/10/2015,Napoles,4,7,P,X,2
14/10/2015,Los Ligres,3,5,P,X,
28/10/2015,Terrorista Oaky,3,9,P,X,1
6/11/2015,Jamaica,4,5,P,,
11/11/2015,Los del 5,5,3,G,,
18/11/2015,Zapiola,4,4,E,X,
26/11/2015,UVP,2,7,P,X,
2/12/2015,El Campito,3,7,P,X,2
13/12/2015,Branca Team,5,5,E,X,
30/12/2015,Atlas,3,5,P,X,
7/02/2016,Los Eucaliptus,2,4,P,X,
10/02/2016,La Iapi,0,4,P,X,
13/02/2016,El Pozo,3,0,G,,
10/03/2016,Bola 8,6,5,G,X,1
20/03/2016,Excursionistas,3,7,P,X,
27/03/2016,Los Vagos,3,3,E,X,
3/04/2016,Kannabis F.C.,5,5,E,X,2
6/04/2016,Napoli,4,7,P,X,3
20/04/2016,Zapiola,3,0,G,,
20/04/2016,Chevette,3,4,P,,
27/04/2016,Los Pibes de Wilde,6,4,G,,
15/05/2016,Frenada de Bici,3,7,P,,
18/05/2016,El Campito,4,6,P,,
25/05/2016,Los 14,8,2,G,,
28/05/2016,Wilde FC,2,6,P,,
16/06/2016,UVP,0,2,P,,
22/06/2016,El Campito,3,2,G,,
29/06/2016,Las Carabelas,0,6,P,,
8/07/2016,Pocas Plumas,1,7,P,,
13/07/2016,Frenada de Bici,2,7,P,,
28/07/2016,Belgrano,1,7,P,,
3/08/2016,Los Vagos,5,8,P,,
10/08/2016,Kannabis F.C.,2,8,P,,
19/08/2016,Villa Alcira,2,9,P,,
28/08/2016,Centensiados,2,4,P,,
23/09/2016,Schalke 04,3,12,P,,
28/09/2016,Villa Alcira,6,2,G,,
12/10/2016,Cente New,3,3,E,,
19/10/2016,O' Higgins,1,4,P,,
26/10/2016,Kannabis F.C.,4,7,P,,
2/11/2016,UVP,0,6,P,,
9/11/2016,Los Pibes de Wilde,3,0,G,,
18/11/2016,Belgrano,4,3,G,,
23/11/2016,Los Vagos,2,3,P,,
29/11/2016,Franco Canadiense,3,4,P,,
27/12/2016,Juventus,5,13,P,X,
15/03/2017,Los Vagos,4,7,P,X,
22/03/2017,Belgrano,2,4,P,X,
2/04/2017,Chaco for Ever,5,2,G,X,
5/04/2017,O' Higgins,5,3,G,X,1
12/04/2017,La Vagancia,3,0,G,,
19/04/2017,Inyecta,1,2,P,X,
7/05/2017,Los Ligres,0,2,P,X,
12/05/2017,UVP,3,5,P,X,
19/05/2017,Las Torres Jrs.,3,7,P,X,
14/06/2017,El Pasillo,2,6,P,X,1
21/06/2017,Distribuidora,7,5,G,X,2
2/07/2017,Ferro,4,5,P,X,
9/07/2017,Las Torres Jrs.,2,2,E,,
18/07/2017,Belgrano,2,0,G,,
30/07/2017,El Trebol,3,3,E,X,
6/08/2017,Todo Nuevo,2,0,G,,
9/08/2017,Los Josele,3,3,E,X,
13/08/2017,Wilde FC,0,4,P,X,
16/08/2017,UVP,4,4,E,X,2
23/08/2017,Juventud Unida,2,11,P,X,1
13/09/2017,Sin Tarimba,7,3,G,,
20/09/2017,Napoles,3,7,P,X,
24/09/2017,Carabelas,2,3,P,X,
1/10/2017,Deportivo Marley,10,5,G,X,
8/10/2017,Samsara,4,3,G,X,
18/10/2017,Los Maxwell,1,2,P,X,
25/10/2017,La Nueva Guardia B,4,5,P,,
1/11/2017,Las Torres Jrs.,3,5,P,X,
8/11/2017,Selmiq,0,4,P,X,
22/02/2018,Pinocho,2,2,E,X,
22/02/2018,La Vencedora,3,0,G,,
3/03/2018,CBC,2,2,E,X,1
5/03/2018,El City,7,2,G,X,2
12/04/2018,Didar SRL,10,6,G,X,1
20/04/2018,Sur,8,6,G,X,2
27/04/2018,Calchaqui,7,4,G,X,
4/05/2018,Motor V,8,5,G,X,4
11/05/2018,Mennesker,6,4,G,X,3
20/05/2018,Didar SRL,3,3,E,X,
15/06/2018,El Veinty,4,1,G,X,1
20/06/2018,El Napoli,3,2,G,X,1
22/06/2018,Barreme la Veredita,5,1,G,X,1
26/06/2018,General Acha,4,4,E,X,2
5/07/2018,4 de Copas,1,2,P,X,
13/07/2018,Sur,5,1,G,X,
20/07/2018,El Fortin,3,0,G,,
26/07/2018,Motor V,2,8,P,X,1
3/08/2018,CBC,4,4,E,,
10/08/2018,Olivieri,4,5,P,X,1
7/09/2018,El Ciclón,10,3,G,X,5
14/09/2018,El Veinty,2,2,E,X,1
21/09/2018,25 de mayo,4,4,E,X,
28/09/2018,General Acha,3,2,G,X,1
5/10/2018,11 Corazones,7,2,G,X,2
11/10/2018,El Napoli,1,3,P,X,
25/10/2018,Olivieri,3,4,P,,
2/11/2018,Athletic Bilbao,3,3,E,X,2
6/11/2018,Mennesker,3,0,G,,
13/11/2018,4 de Copas,0,2,P,X,
3/11/2018,Las Torres Jrs.,2,5,P,X,1
7/12/2018,Sur,4,4,E,X,2
7/03/2019,4 de Copas,3,1,G,X,
14/03/2019,Motor V,4,4,E,X,1
30/03/2019,Deportivo Bernal,3,0,G,,
2/04/2019,Ferro,2,5,P,X,
5/04/2019,CBC,3,0,G,,
11/04/2019,Centenario B,2,3,P,X,
19/04/2019,Olivieri,3,3,E,X,
26/04/2019,La 73,4,2,G,X,
3/05/2019,Sur,7,1,G,X,4
9/05/2019,Athletic Bilbao,3,6,P,,
17/05/2019,Ediq,2,6,P,,
23/05/2019,Barreme la Veredita,2,1,G,X,
31/05/2019,La 73,5,1,G,X,2
3/06/2019,General Acha,2,2,E,X,1
14/06/2019,El Ciclón,3,1,G,X,2
21/06/2019,El Veinty,3,3,E,X,
26/06/2019,4 de Copas,2,3,P,X,
6/07/2019,Motor V,2,6,P,X,1
10/07/2019,Puesta a punto,4,4,E,X,1
18/07/2019,Nueva Roma,4,5,P,X,
26/07/2019,El Resto,5,6,P,,
31/07/2019,Fuerte Apache,3,4,P,,
9/08/2019,Barreme la Veredita,2,4,P,X,2
23/08/2019,El Veinty,4,6,P,X,1
26/09/2019,Barreme la Veredita,1,3,P,X,
